Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date.1,Time.1,Comp.1,Round.1,Day.1,Venue.1,Result.1,GF.1,GA.1,Opponent.1,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG.1,npxG,npxG/Sh,G-xG,np:G-xG,Match Report.1
13/01/2024,17:30,Premier League,Matchweek 21,Sat,Home,L,2,3,Manchester City,1.3,3.0,28.0,"52,190",Kieran Trippier,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,13/01/2024,17:30,Premier League,Matchweek 21,Sat,Home,L,2,3,Manchester City,2,12.0,5.0,41.7,0.17,0.4,14.7,0.0,0.0,0.0,1.3,1.3,0.11,0.7,0.7,Match Report
27/01/2024,19:00,FA Cup,Fourth round proper,Sat,Away,W,2,0,Fulham,,,44.0,"18,960",Kieran Trippier,4-3-3,4-2-3-1,Jarred Gillett,Match Report,,27/01/2024,19:00,FA Cup,Fourth round proper,Sat,Away,W,2,0,Fulham,2,8.0,6.0,75.0,0.25,0.33,,,0.0,0.0,,,,,,Match Report
30/01/2024,20:15,Premier League,Matchweek 22,Tue,Away,W,3,1,Aston Villa,2.6,1.4,39.0,"42,191",Kieran Trippier,4-3-3,4-4-2,John Brooks,Match Report,,30/01/2024,20:15,Premier League,Matchweek 22,Tue,Away,W,3,1,Aston Villa,2,14.0,5.0,35.7,0.14,0.4,11.9,0.0,0.0,0.0,2.6,2.6,0.19,-0.6,-0.6,Match Report
03/02/2024,15:00,Premier League,Matchweek 23,Sat,Home,D,4,4,Luton Town,2.3,2.4,55.0,"52,211",Kieran Trippier,4-3-3,3-4-3,Thomas Bramall,Match Report,,03/02/2024,15:00,Premier League,Matchweek 23,Sat,Home,D,4,4,Luton Town,4,19.0,6.0,31.6,0.21,0.67,16.3,0.0,0.0,0.0,2.3,2.3,0.13,1.7,1.7,Match Report
10/02/2024,17:30,Premier League,Matchweek 24,Sat,Away,W,3,2,Nott'ham Forest,0.5,1.5,61.0,"29,451",Kieran Trippier,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,10/02/2024,17:30,Premier League,Matchweek 24,Sat,Away,W,3,2,Nott'ham Forest,3,7.0,5.0,71.4,0.43,0.6,19.2,0.0,0.0,0.0,0.5,0.5,0.07,2.5,2.5,Match Report
17/02/2024,15:00,Premier League,Matchweek 25,Sat,Home,D,2,2,Bournemouth,2.2,2.2,62.0,"52,224",Kieran Trippier,4-3-3,4-2-3-1,Michael Salisbury,Match Report,,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Home,D,2,2,Bournemouth,2,16.0,4.0,25.0,0.06,0.25,19.4,0.0,1.0,1.0,2.2,1.4,0.09,-0.2,-0.4,Match Report
24/02/2024,20:00,Premier League,Matchweek 26,Sat,Away,L,1,4,Arsenal,0.2,2.8,45.0,"60,298",Kieran Trippier,4-3-3,4-3-3,Paul Tierney,Match Report,,24/02/2024,20:00,Premier League,Matchweek 26,Sat,Away,L,1,4,Arsenal,1,3.0,2.0,66.7,0.33,0.5,14.5,0.0,0.0,0.0,0.2,0.2,0.05,0.8,0.8,Match Report
27/02/2024,19:45,FA Cup,Fifth round proper,Tue,Away,D,1 (4),1 (3),Blackburn,,,62.0,"22,730",Jamaal Lascelles,4-3-3,3-4-3,Jarred Gillett,Match Report,Newcastle Utd won on penalty kicks following extra time,27/02/2024,19:45,FA Cup,Fifth round proper,Tue,Away,D,1 (4),1 (3),Blackburn,1,19.0,8.0,42.1,0.05,0.13,,,0.0,0.0,,,,,,Match Report
02/03/2024,15:00,Premier League,Matchweek 27,Sat,Home,W,3,0,Wolves,2.1,0.8,44.0,"52,206",Kieran Trippier,4-3-3,3-4-3,Tim Robinson,Match Report,,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Home,W,3,0,Wolves,3,14.0,6.0,42.9,0.21,0.5,16.3,1.0,0.0,0.0,2.1,2.1,0.16,0.9,0.9,Match Report
11/03/2024,20:00,Premier League,Matchweek 28,Mon,Away,L,2,3,Chelsea,0.7,1.6,56.0,"37,753",Dan Burn,4-3-3,4-2-3-1,John Brooks,Match Report,,11/03/2024,20:00,Premier League,Matchweek 28,Mon,Away,L,2,3,Chelsea,2,11.0,3.0,27.3,0.18,0.67,16.0,0.0,0.0,0.0,0.7,0.7,0.07,1.3,1.3,Match Report
16/03/2024,17:30,FA Cup,Quarter-finals,Sat,Away,L,0,2,Manchester City,,,28.0,"52,126",Jamaal Lascelles,5-3-2,4-2-3-1,Simon Hooper,Match Report,,16/03/2024,17:30,FA Cup,Quarter-finals,Sat,Away,L,0,2,Manchester City,0,2.0,1.0,50.0,0.0,0.0,,,0.0,0.0,,,,,,Match Report
30/03/2024,12:30,Premier League,Matchweek 30,Sat,Home,W,4,3,West Ham,4.1,1.4,60.0,"52,199",Jamaal Lascelles,4-3-3,4-2-3-1,Robert Jones,Match Report,,30/03/2024,12:30,Premier League,Matchweek 30,Sat,Home,W,4,3,West Ham,4,22.0,7.0,31.8,0.09,0.29,17.6,0.0,2.0,2.0,4.1,2.5,0.11,-0.1,-0.5,Match Report
02/04/2024,19:30,Premier League,Matchweek 31,Tue,Home,D,1,1,Everton,2.4,1.4,57.0,"52,135",Dan Burn,4-3-3,4-4-1-1,Tony Harrington,Match Report,,02/04/2024,19:30,Premier League,Matchweek 31,Tue,Home,D,1,1,Everton,1,18.0,5.0,27.8,0.06,0.2,15.7,0.0,0.0,0.0,2.4,2.4,0.14,-1.4,-1.4,Match Report
06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,W,1,0,Fulham,1.0,1.2,34.0,"24,418",Dan Burn,4-3-3,4-2-3-1,Samuel Allison,Match Report,,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,W,1,0,Fulham,1,12.0,5.0,41.7,0.08,0.2,16.8,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Match Report
13/04/2024,12:30,Premier League,Matchweek 33,Sat,Home,W,4,0,Tottenham,2.8,0.8,28.0,"52,147",Dan Burn,4-3-3,4-2-3-1,Tim Robinson,Match Report,,13/04/2024,12:30,Premier League,Matchweek 33,Sat,Home,W,4,0,Tottenham,4,18.0,5.0,27.8,0.22,0.8,11.1,0.0,0.0,0.0,2.8,2.8,0.16,1.2,1.2,Match Report
24/04/2024,20:00,Premier League,Matchweek 29,Wed,Away,L,0,2,Crystal Palace,0.4,0.9,53.0,"25,002",Dan Burn,3-4-3,3-4-3,Thomas Bramall,Match Report,,24/04/2024,20:00,Premier League,Matchweek 29,Wed,Away,L,0,2,Crystal Palace,0,7.0,2.0,28.6,0.0,0.0,14.2,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Match Report
27/04/2024,15:00,Premier League,Matchweek 35,Sat,Home,W,5,1,Sheffield Utd,3.1,1.5,60.0,"52,196",Dan Burn,4-3-3,3-5-2,Tony Harrington,Match Report,,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Home,W,5,1,Sheffield Utd,4,19.0,6.0,31.6,0.16,0.5,16.0,0.0,1.0,1.0,3.1,2.3,0.12,0.9,0.7,Match Report
