Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
24/02/2024,15:00,Premier League,Matchweek 26,Sat,Home,W,4,2,Nott'ham Forest,3.6,2.6,58,"42,131",John McGinn,4-2-3-1,4-2-3-1,Samuel Barrott,Match Report,,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Home,W,4,2,Nott'ham Forest,4,16,6,37.5,0.25,0.67,14.3,2,0,0,3.6,3.6,0.23,0.4,0.4,Match Report
02/03/2024,17:30,Premier League,Matchweek 27,Sat,Away,W,3,2,Luton Town,1.9,1.8,54,"11,594",John McGinn,4-2-3-1,3-4-3,Michael Oliver,Match Report,,02/03/2024,17:30,Premier League,Matchweek 27,Sat,Away,W,3,2,Luton Town,3,12,8,66.7,0.25,0.38,12.5,0,0,0,1.9,1.9,0.16,1.1,1.1,Match Report
07/03/2024,18:45 (17:45),Conf Lg,Round of 16,Thu,Away,D,0,0,nl Ajax,0.3,0.8,40,"52,197",Emiliano Martínez,4-4-2,3-4-3,Enea Jorgji,Match Report,Leg 1 of 2,07/03/2024,18:45 (17:45),Conf Lg,Round of 16,Thu,Away,D,0,0,nl Ajax,0,4,1,25,0,0,16.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report
10/03/2024,13:00,Premier League,Matchweek 28,Sun,Home,L,0,4,Tottenham,0.8,1.5,32,"42,310",John McGinn,5-3-2,4-2-3-1,Chris Kavanagh,Match Report,,10/03/2024,13:00,Premier League,Matchweek 28,Sun,Home,L,0,4,Tottenham,0,10,1,10,0,0,14.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report
14/03/2024,20:00,Conf Lg,Round of 16,Thu,Home,W,4,0,nl Ajax,1.1,0.3,46,"37,916",John McGinn,4-4-2,3-4-3,Orel Grinfeeld,Match Report,Leg 2 of 2; Aston Villa won,14/03/2024,20:00,Conf Lg,Round of 16,Thu,Home,W,4,0,nl Ajax,4,13,8,61.5,0.31,0.5,15.4,0,0,0,1.1,1.1,0.09,2.9,2.9,Match Report
17/03/2024,14:00,Premier League,Matchweek 29,Sun,Away,D,1,1,West Ham,0.7,2,69,"62,461",Emiliano Martínez,4-4-2,4-2-3-1,Jarred Gillett,Match Report,,17/03/2024,14:00,Premier League,Matchweek 29,Sun,Away,D,1,1,West Ham,1,13,5,38.5,0.08,0.2,20.6,0,0,0,0.7,0.7,0.05,0.3,0.3,Match Report
30/03/2024,17:30,Premier League,Matchweek 30,Sat,Home,W,2,0,Wolves,1,1.5,48,"42,640",Emiliano Martínez,4-4-2,3-4-3,Paul Tierney,Match Report,,30/03/2024,17:30,Premier League,Matchweek 30,Sat,Home,W,2,0,Wolves,2,11,5,45.5,0.18,0.4,14.7,0,0,0,1,1,0.09,1,1,Match Report
03/04/2024,20:15,Premier League,Matchweek 31,Wed,Away,L,1,4,Manchester City,0.8,3.4,33,"53,422",Douglas Luiz,4-2-3-1,4-2-3-1,Darren England,Match Report,,03/04/2024,20:15,Premier League,Matchweek 31,Wed,Away,L,1,4,Manchester City,1,8,3,37.5,0.13,0.33,12.4,0,0,0,0.8,0.8,0.1,0.2,0.2,Match Report
06/04/2024,15:00,Premier League,Matchweek 32,Sat,Home,D,3,3,Brentford,1.5,1.5,69,"42,118",John McGinn,4-4-1-1,3-5-2,Michael Salisbury,Match Report,,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Home,D,3,3,Brentford,3,11,3,27.3,0.27,1,12.1,1,0,0,1.5,1.5,0.14,1.5,1.5,Match Report
11/04/2024,20:00,Conf Lg,Quarter-finals,Thu,Home,W,2,1,fr Lille,1.1,1.5,42,"37,220",John McGinn,4-4-1-1,4-2-3-1,Espen Eskås,Match Report,Leg 1 of 2,11/04/2024,20:00,Conf Lg,Quarter-finals,Thu,Home,W,2,1,fr Lille,2,12,4,33.3,0.17,0.5,14.4,0,0,0,1.1,1.1,0.09,0.9,0.9,Match Report
14/04/2024,16:30,Premier League,Matchweek 33,Sun,Away,W,2,0,Arsenal,0.9,1.6,48,"60,350",John McGinn,4-2-3-1,4-3-3,David Coote,Match Report,,14/04/2024,16:30,Premier League,Matchweek 33,Sun,Away,W,2,0,Arsenal,2,11,2,18.2,0.18,1,18.8,1,0,0,0.9,0.9,0.09,1.1,1.1,Match Report
18/04/2024,18:45 (17:45),Conf Lg,Quarter-finals,Thu,Away,L,1 (4),2 (3),fr Lille,1.2,1.4,48,"47,093",John McGinn,4-4-2,4-2-3-1,Ivan Kružliak,Match Report,Leg 2 of 2; Aston Villa won; Aston Villa won on penalty kicks following extra time,18/04/2024,18:45 (17:45),Conf Lg,Quarter-finals,Thu,Away,L,1 (4),2 (3),fr Lille,1,9,6,66.7,0.11,0.17,16.7,0,0,0,1.2,1.2,0.13,-0.2,-0.2,Match Report
21/04/2024,15:00,Premier League,Matchweek 34,Sun,Home,W,3,1,Bournemouth,2.4,1.8,56,"42,189",John McGinn,4-2-3-1,4-2-3-1,Tim Robinson,Match Report,,21/04/2024,15:00,Premier League,Matchweek 34,Sun,Home,W,3,1,Bournemouth,3,15,5,33.3,0.2,0.6,14.8,0,0,0,2.4,2.4,0.17,0.6,0.6,Match Report
27/04/2024,20:00,Premier League,Matchweek 35,Sat,Home,D,2,2,Chelsea,1.1,1.6,29,"42,354",John McGinn,4-4-1-1,4-2-3-1,Craig Pawson,Match Report,,27/04/2024,20:00,Premier League,Matchweek 35,Sat,Home,D,2,2,Chelsea,1,9,4,44.4,0.11,0.25,15,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Match Report
02/05/2024,20:00,Conf Lg,Semi-finals,Thu,Home,L,2,4,gr Olympiacos,1.4,1.6,65,"41,220",John McGinn,4-2-3-1,4-2-3-1,Marco Guida,Match Report,Leg 1 of 2,02/05/2024,20:00,Conf Lg,Semi-finals,Thu,Home,L,2,4,gr Olympiacos,2,16,7,43.8,0.13,0.29,19.6,0,0,1,1.4,0.6,0.04,0.6,1.4,Match Report
05/05/2024,14:00,Premier League,Matchweek 36,Sun,Away,L,0,1,Brighton,0.1,2.5,48,"31,596",John McGinn,4-2-3-1,4-2-3-1,Robert Jones,Match Report,,05/05/2024,14:00,Premier League,Matchweek 36,Sun,Away,L,0,1,Brighton,0,2,1,50,0,0,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
09/05/2024,22:00 (20:00),Conf Lg,Semi-finals,Thu,Away,L,0,2,gr Olympiacos,1.1,1.2,72,"33,000",John McGinn,5-4-1,4-2-3-1,Felix Zwayer,Match Report,Leg 2 of 2; Olympiacos won,09/05/2024,22:00 (20:00),Conf Lg,Semi-finals,Thu,Away,L,0,2,gr Olympiacos,0,15,4,26.7,0,0,17.1,1,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report
13/05/2024,20:00,Premier League,Matchweek 37,Mon,Home,D,3,3,Liverpool,3.1,1.7,41,"42,241",John McGinn,4-2-3-1,4-3-3,Simon Hooper,Match Report,,13/05/2024,20:00,Premier League,Matchweek 37,Mon,Home,D,3,3,Liverpool,3,19,5,26.3,0.16,0.6,15.2,0,0,0,3.1,3.1,0.17,-0.1,-0.1,Match Report
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,0,5,Crystal Palace,0.9,2.5,46,"25,191",John McGinn,4-4-2,3-4-3,Darren Bond,Match Report,,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,0,5,Crystal Palace,0,8,2,25,0,0,13.8,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,104,716,267,37.3,0.13,0.34,16.3,16,5,6,,,0.12,104,99,
