Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
17/03/2024,14:00,Premier League,Matchweek 29,Sun,Home,D,1,1,Aston Villa,2,0.7,31,"62,461",Kurt Zouma,4-2-3-1,4-4-2,Jarred Gillett,Match Report,,17/03/2024,14:00,Premier League,Matchweek 29,Sun,Home,D,1,1,Aston Villa,1,13,4,30.8,0.08,0.25,15.9,1,0,0,2,2,0.16,-1,-1,Match Report
30/03/2024,12:30,Premier League,Matchweek 30,Sat,Away,L,3,4,Newcastle Utd,1.4,4.1,40,"52,199",Kurt Zouma,4-2-3-1,4-3-3,Robert Jones,Match Report,,30/03/2024,12:30,Premier League,Matchweek 30,Sat,Away,L,3,4,Newcastle Utd,3,10,4,40,0.3,0.75,14.1,0,0,0,1.4,1.4,0.14,1.6,1.6,Match Report
02/04/2024,20:15,Premier League,Matchweek 31,Tue,Home,D,1,1,Tottenham,1.5,1,33,"62,469",Kurt Zouma,4-5-1,4-2-3-1,John Brooks,Match Report,,02/04/2024,20:15,Premier League,Matchweek 31,Tue,Home,D,1,1,Tottenham,1,11,4,36.4,0.09,0.25,16.6,1,0,0,1.5,1.5,0.14,-0.5,-0.5,Match Report
06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,W,2,1,Wolves,1.2,1.5,42,"31,504",Kurt Zouma,4-2-3-1,3-4-3,Tony Harrington,Match Report,,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,W,2,1,Wolves,2,10,3,30,0.1,0.33,24.6,2,1,1,1.2,0.4,0.04,0.8,0.6,Match Report
11/04/2024,21:00 (20:00),Europa Lg,Quarter-finals,Thu,Away,L,0,2,de Leverkusen,0.2,2.3,28,"30,210",Kurt Zouma,3-4-3,3-4-3,Artur Soares Dias,Match Report,Leg 1 of 2,11/04/2024,21:00 (20:00),Europa Lg,Quarter-finals,Thu,Away,L,0,2,de Leverkusen,0,1,1,100,0,0,17.8,0,0,0,0.2,0.2,0.2,-0.2,-0.2,Match Report
14/04/2024,14:00,Premier League,Matchweek 33,Sun,Home,L,0,2,Fulham,0.9,3.2,58,"62,459",?ukasz Fabia?ski,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,,14/04/2024,14:00,Premier League,Matchweek 33,Sun,Home,L,0,2,Fulham,0,15,4,26.7,0,0,16.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report
18/04/2024,20:00,Europa Lg,Quarter-finals,Thu,Home,D,1,1,de Leverkusen,1.5,1.1,43,"62,473",Kurt Zouma,4-2-3-1,3-4-3,José Sánchez,Match Report,Leg 2 of 2; Leverkusen won,18/04/2024,20:00,Europa Lg,Quarter-finals,Thu,Home,D,1,1,de Leverkusen,1,14,6,42.9,0.07,0.17,15.3,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Match Report
21/04/2024,15:00,Premier League,Matchweek 34,Sun,Away,L,2,5,Crystal Palace,1.3,2.4,40,"25,145",Kurt Zouma,4-2-3-1,3-4-3,Graham Scott,Match Report,,21/04/2024,15:00,Premier League,Matchweek 34,Sun,Away,L,2,5,Crystal Palace,1,4,1,25,0.25,1,10.8,0,0,0,1.3,1.3,0.32,-0.3,-0.3,Match Report
27/04/2024,12:30,Premier League,Matchweek 35,Sat,Home,D,2,2,Liverpool,0.7,1.7,29,"62,474",Kurt Zouma,4-2-3-1,4-3-3,Anthony Taylor,Match Report,,27/04/2024,12:30,Premier League,Matchweek 35,Sat,Home,D,2,2,Liverpool,2,11,8,72.7,0.18,0.25,17,0,0,0,0.7,0.7,0.06,1.3,1.3,Match Report
05/05/2024,14:00,Premier League,Matchweek 36,Sun,Away,L,0,5,Chelsea,0.9,4.1,31,"39,295",Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,05/05/2024,14:00,Premier League,Matchweek 36,Sun,Away,L,0,5,Chelsea,0,13,2,15.4,0,0,17.6,2,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
11/05/2024,15:00,Premier League,Matchweek 37,Sat,Home,W,3,1,Luton Town,3.2,0.3,58,"62,475",Kurt Zouma,4-2-3-1,3-4-3,Michael Oliver,Match Report,,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Home,W,3,1,Luton Town,3,24,8,33.3,0.13,0.38,16.5,1,0,0,3.2,3.2,0.13,-0.2,-0.2,Match Report
19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,1,3,Manchester City,0.4,1.9,29,"55,097",Kurt Zouma,3-4-3,4-1-4-1,John Brooks,Match Report,,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,1,3,Manchester City,1,3,2,66.7,0.33,0.5,10.3,0,0,0,0.4,0.4,0.12,0.6,0.6,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,79,611,204,33.4,0.12,0.37,16,20,4,5,,,0.11,79,75,
