Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Brentford,1.4,0.9,64,"73,453",Bruno Fernandes,4-2-3-1,3-5-2,Andy Madley,Match Report,,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Brentford,2,21,8,38.1,0.1,0.25,18.3,1,0,0,1.4,1.4,0.07,0.6,0.6,Match Report
21/10/2023,20:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,1.1,1.4,62,"31,543",Bruno Fernandes,4-2-3-1,4-4-2,Michael Oliver,Match Report,,21/10/2023,20:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,2,14,5,35.7,0.14,0.4,20.6,1,0,0,1.1,1.1,0.08,0.9,0.9,Match Report
24/10/2023,20:00,Champions Lg,Group stage,Tue,Home,W,1,0,dk FC Copenhagen,1.7,1.9,50,"73,249",Bruno Fernandes,4-2-3-1,4-3-3,Marco Guida,Match Report,,24/10/2023,20:00,Champions Lg,Group stage,Tue,Home,W,1,0,dk FC Copenhagen,1,15,5,33.3,0.07,0.2,15,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Match Report
29/10/2023,15:30,Premier League,Matchweek 10,Sun,Home,L,0,3,Manchester City,0.9,4,40,"73,502",Bruno Fernandes,4-2-3-1,4-2-3-1,Paul Tierney,Match Report,,29/10/2023,15:30,Premier League,Matchweek 10,Sun,Home,L,0,3,Manchester City,0,7,3,42.9,0,0,15.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Match Report
01/11/2023,20:15,EFL Cup,Fourth round,Wed,Home,L,0,3,Newcastle Utd,,,62,"72,484",Casemiro,4-2-3-1,4-3-3,Robert Jones,Match Report,,01/11/2023,20:15,EFL Cup,Fourth round,Wed,Home,L,0,3,Newcastle Utd,0,13,2,15.4,0,0,,,0,0,,,,,,Match Report
04/11/2023,12:30,Premier League,Matchweek 11,Sat,Away,W,1,0,Fulham,0.7,1,55,"24,415",Bruno Fernandes,4-2-3-1,4-2-3-1,John Brooks,Match Report,,04/11/2023,12:30,Premier League,Matchweek 11,Sat,Away,W,1,0,Fulham,1,12,5,41.7,0.08,0.2,18.3,1,0,0,0.7,0.7,0.06,0.3,0.3,Match Report
08/11/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,L,3,4,dk FC Copenhagen,3,2.2,48,"36,099",Bruno Fernandes,4-2-3-1,4-3-3,Donatas Rumšas,Match Report,,08/11/2023,21:00 (20:00),Champions Lg,Group stage,Wed,Away,L,3,4,dk FC Copenhagen,3,8,7,87.5,0.25,0.29,14.5,0,1,1,3,2.2,0.3,0,-0.2,Match Report
11/11/2023,15:00,Premier League,Matchweek 12,Sat,Home,W,1,0,Luton Town,2.2,0.4,64,"73,599",Bruno Fernandes,4-2-3-1,3-4-3,Graham Scott,Match Report,,11/11/2023,15:00,Premier League,Matchweek 12,Sat,Home,W,1,0,Luton Town,1,15,4,26.7,0.07,0.25,14,1,0,0,2.2,2.2,0.15,-1.2,-1.2,Match Report
26/11/2023,16:30,Premier League,Matchweek 13,Sun,Away,W,3,0,Everton,2.2,2.4,49,"39,257",Bruno Fernandes,4-2-3-1,4-4-1-1,John Brooks,Match Report,,26/11/2023,16:30,Premier League,Matchweek 13,Sun,Away,W,3,0,Everton,3,8,3,37.5,0.25,0.67,17.4,0,1,1,2.2,1.4,0.18,0.8,0.6,Match Report
29/11/2023,20:45 (17:45),Champions Lg,Group stage,Wed,Away,D,3,3,tr Galatasaray,1.6,1.5,43,"51,733",Bruno Fernandes,4-2-3-1,4-2-3-1,José Sánchez,Match Report,,29/11/2023,20:45 (17:45),Champions Lg,Group stage,Wed,Away,D,3,3,tr Galatasaray,3,17,4,23.5,0.18,0.75,17.3,0,0,0,1.6,1.6,0.1,1.4,1.4,Match Report
